home_win_rate,away_win_rate,home_avg_goals,away_avg_goals,home_last5_points,away_last5_points,home_form,away_form,home_goal_difference,away_goal_difference,home_avg_conceded,away_avg_conceded,home_avg_shots,away_avg_shots,home_streak,away_streak,target
0.4,0.4,1.0,1.4,7,8,3,5,-0.19999999999999996,0.3999999999999999,1.2,1.0,10.2,14.0,0,1,A
0.6,0.2,2.0,0.6,10,3,3,0,0.8,-1.0,1.2,1.6,13.2,7.6,1,-1,H
0.2,0.4,2.8,1.4,6,6,4,3,1.5999999999999999,-0.20000000000000018,1.2,1.6,15.6,14.4,0,-1,H
0.4,1.0,1.6,2.6,7,15,4,9,0.40000000000000013,2.2,1.2,0.4,12.4,13.2,1,5,A
0.4,0.4,0.6,1.0,9,6,5,3,0.39999999999999997,-0.8,0.2,1.8,16.2,8.8,0,-2,A
0.4,0.0,1.6,0.8,6,1,3,0,0.0,-2.4000000000000004,1.6,3.2,13.6,9.6,-2,0,H
1.0,0.6,2.6,1.8,15,10,3,4,2.2,0.8,0.4,1.0,14.2,10.6,5,2,H
0.0,0.4,0.8,0.8,3,8,2,4,-0.5999999999999999,0.20000000000000007,1.4,0.6,6.8,18.0,0,-1,H
0.4,0.4,1.6,0.8,6,7,6,4,0.20000000000000018,-0.19999999999999996,1.4,1.0,14.2,8.8,1,-1,A
0.4,0.6,1.4,1.0,6,10,3,3,-0.40000000000000013,0.4,1.8,0.6,12.0,11.0,-2,2,D
0.6,0.4,1.0,0.8,9,8,3,4,-0.3999999999999999,0.20000000000000007,1.4,0.6,8.2,12.6,1,1,D
0.6,0.2,1.6,1.0,10,4,3,0,0.6000000000000001,-0.19999999999999996,1.0,1.2,13.4,12.0,2,-1,A
0.2,0.2,0.6,1.0,3,6,3,3,-0.7999999999999999,0.19999999999999996,1.4,0.8,11.0,10.4,-2,0,H
0.8,0.4,1.6,3.2,13,9,6,2,1.2000000000000002,2.2,0.4,1.0,14.6,15.4,0,1,D
0.2,0.2,0.6,1.0,3,3,3,3,-1.0,-1.2000000000000002,1.6,2.2,7.6,12.6,-3,-4,A
0.4,0.0,1.6,0.8,7,1,0,0,-0.19999999999999996,-2.8,1.8,3.6,7.0,8.2,1,-1,H
1.0,0.6,2.6,1.2,15,11,6,4,2.0,0.6,0.6,0.6,12.8,12.6,5,0,H
0.2,0.6,1.0,1.6,6,10,3,7,-0.19999999999999996,0.6000000000000001,1.2,1.0,12.0,11.4,-1,-1,D
0.2,0.4,0.6,0.8,3,7,3,4,-1.2000000000000002,-0.19999999999999996,1.8,1.0,8.4,9.0,-4,1,H
0.4,0.4,0.8,3.2,7,9,1,2,-0.5999999999999999,2.2,1.4,1.0,6.6,14.8,0,0,D
0.4,0.4,0.8,1.4,9,6,4,0,0.6000000000000001,0.19999999999999996,0.2,1.2,14.2,12.6,0,1,A
0.2,0.4,0.6,1.4,5,7,4,4,-0.4,-0.20000000000000018,1.0,1.6,7.0,6.4,1,2,A
0.2,0.6,0.8,1.2,3,11,0,7,-1.2,0.7999999999999999,2.0,0.4,13.0,14.4,1,0,A
0.2,0.4,1.0,1.6,6,6,3,3,-0.19999999999999996,0.20000000000000018,1.2,1.4,10.4,11.0,0,1,D
0.2,0.0,0.4,0.8,3,1,3,0,-1.2000000000000002,-1.2,1.6,2.0,7.4,9.4,1,-2,A
0.4,0.4,0.6,1.0,7,8,3,4,0.0,-0.19999999999999996,0.6,1.2,10.4,11.6,-1,-1,D
0.2,0.4,0.6,1.4,5,8,1,5,-0.20000000000000007,0.19999999999999996,0.8,1.2,17.8,12.6,-2,0,A
